,bpp_base,ssim_base,bpp_solution,ssim_solution,bpp_jpeg,ssim_jpeg
0,1.007,0.7082187349828054,0.7236,0.6400510191565923,0.82666015625,0.8541563527883133
1,0.963,0.7402791672222236,0.7656,0.7116909834916575,0.689453125,0.8150651879865244
2,1.012,0.6701802810813678,0.6733,0.6040581502997712,0.82568359375,0.8035346481028399
3,0.9604,0.6479237273002151,0.7554,0.5646377521871818,0.75634765625,0.7536526003333389
4,1.019,0.6784907987429438,0.6943,0.6166316408430605,0.8720703125,0.8435804718820147
5,1.008,0.657178007119377,0.68,0.5880591093608146,0.82568359375,0.8033733149797513
6,0.9824,0.7294457468149195,0.7334,0.6862472133775807,0.80517578125,0.8331343233295786
7,0.9517,0.710775515435821,0.7866,0.7018974052914411,0.7509765625,0.8176854966134556
8,0.9775,0.6777567779401575,0.7095,0.6286165816372278,0.80224609375,0.8048346857438092
9,0.948,0.725729968603971,0.762,0.6773947884675371,0.76806640625,0.8412971307203007
10,0.924,0.6819883016030333,0.6904,0.5822012978672811,0.80224609375,0.8012286946780219
11,1.021,0.6803135909243605,0.715,0.615462012258698,0.83837890625,0.8372432987164794
12,0.9243,0.6726047216123171,0.7397,0.620290300160643,0.73779296875,0.7754234055075641
13,0.992,0.7035528323365138,0.7275,0.6045804491423321,0.79833984375,0.8163214458742093
14,0.9673,0.7276650674260569,0.694,0.6690804735238546,0.84033203125,0.8678376978126972
15,0.976,0.6763112611652726,0.71,0.6132953647108338,0.7783203125,0.7935876306487154
16,1.004,0.6676841612320761,0.6875,0.599169692135446,0.8505859375,0.8245660078956106
17,0.958,0.6788365354797712,0.6895,0.5934773631152258,0.80517578125,0.7878518857803894
18,0.973,0.6694368784359662,0.6475,0.5173452161110687,0.78955078125,0.7791150121691682
19,0.9683,0.7427213277523398,0.6675,0.6999850275406025,0.876953125,0.8786277266865641
20,0.976,0.672923192920563,0.7,0.5990850513683377,0.76318359375,0.7882122733797838
