,bpp_base,ssim_base,bpp_solution,ssim_solution,bpp_jpeg,ssim_jpeg
0,0.523,0.5515877362643115,0.3594,0.5653735595015965,0.46923828125,0.5611744222736884
1,0.477,0.5669943074767413,0.3613,0.6168231717037721,0.4609375,0.5898800978089742
2,0.529,0.5579311265272695,0.3022,0.4862577323592225,0.47607421875,0.4927034083072968
3,0.4746,0.5224242643904428,0.3838,0.47760315408885373,0.4833984375,0.47681891573906204
4,0.5356,0.5662837452877421,0.3228,0.52157272070591,0.47607421875,0.4944661202065744
5,0.524,0.5257666227966381,0.3032,0.48115669470891004,0.4736328125,0.5029666306038608
6,0.4941,0.5708807261182471,0.349,0.5850636048743089,0.474609375,0.5809043189122827
7,0.4658,0.5305980339625626,0.3833,0.6177481524647698,0.46826171875,0.564957822275717
8,0.4966,0.5357632046199373,0.3257,0.5306045592126528,0.4765625,0.5492702366533562
9,0.4624,0.5400757750639666,0.3599,0.5758904554149442,0.46630859375,0.5798286771060955
10,0.4365,0.48054977575747254,0.3296,0.48412135071568657,0.50048828125,0.5850957943885792
11,0.537,0.5472844325140463,0.3481,0.5393553775400544,0.46630859375,0.5749727490101192
12,0.439,0.48563384469101983,0.3354,0.5160772753075699,0.46240234375,0.572609653229072
13,0.5054,0.5581136001083445,0.356,0.5077446718337885,0.478515625,0.5444525181266185
14,0.4883,0.5326059023945396,0.3354,0.5774682760351294,0.478515625,0.6550463322930208
15,0.4946,0.5055924135171397,0.3394,0.5215444387778757,0.490234375,0.5414861188318119
16,0.518,0.5292943538617945,0.3252,0.5068744710643945,0.4814453125,0.5532695999537119
17,0.4727,0.5099706355493111,0.3154,0.4931717114114153,0.49462890625,0.565320677846263
18,0.4912,0.5153986934668926,0.3125,0.42489618950430025,0.490234375,0.5570892974878765
19,0.4893,0.5363691727712171,0.2969,0.5812360472114778,0.4765625,0.6504962340375312
20,0.4902,0.5135525917491163,0.3335,0.5066940664247863,0.47705078125,0.5547016849063863
