,bpp_base,ssim_base,bpp_solution,ssim_solution,bpp_jpeg,ssim_jpeg
0,0.7627,0.6710941901751117,0.5522,0.6164266020192499,0.615234375,0.7649772535487763
1,0.718,0.7032077338116748,0.571,0.6841761854591747,0.5107421875,0.668709374203328
2,0.7686,0.6486265434598016,0.5005,0.5734515342948839,0.6171875,0.691918188495933
3,0.716,0.6183954197516423,0.5786,0.5378994670536197,0.5576171875,0.6062902821414214
4,0.7734,0.6475044869629537,0.515,0.5863819801449054,0.642578125,0.7420591538084665
5,0.7627,0.6275755918875856,0.5005,0.5561705135115335,0.6201171875,0.7084801575358854
6,0.737,0.6974053959043337,0.5503,0.6587973048614187,0.578125,0.7195109383195004
7,0.706,0.6770646176153606,0.5933,0.6778042236175149,0.54931640625,0.6652046720025553
8,0.733,0.6490246337518487,0.528,0.6028241322755241,0.6044921875,0.7115429643216515
9,0.7036,0.6876530125026458,0.568,0.6465654650812355,0.5830078125,0.741912307134049
10,0.6797,0.6412206333936482,0.514,0.5510570172622237,0.56689453125,0.6720910410930877
11,0.777,0.6517409165465022,0.539,0.5916563573568184,0.625,0.7502536727223404
12,0.679,0.6273657548102373,0.5425,0.5885470970380572,0.5419921875,0.647332568601151
13,0.7485,0.670589942490282,0.553,0.577755914018396,0.572265625,0.684842467245677
14,0.7236,0.6879842017852651,0.52,0.6410397860820155,0.59765625,0.7650670232564544
15,0.7314,0.6370438767302088,0.5337,0.5843703245330581,0.55908203125,0.6598281526018308
16,0.7603,0.6379126173919779,0.5166,0.573430041573096,0.64453125,0.736967447838666
17,0.7134,0.6476615777539664,0.5054,0.564271988384658,0.576171875,0.6659840994521057
18,0.7295,0.6352170502719203,0.4893,0.4874871540507646,0.57861328125,0.6624516855192283
19,0.7266,0.6994206410412036,0.4878,0.666271810816403,0.642578125,0.8002208551497052
20,0.7314,0.6391971412088668,0.5254,0.5694073137164565,0.54638671875,0.6586343881850406
